page,verses,endpoint_issues,missing_regions,start_major_issues,blank_tail_rects
264,20,0,0,0,6
265,19,0,0,0,2
266,20,0,0,0,3
267,15,0,0,1,2
268,8,0,0,0,3
269,12,0,0,0,2
270,8,0,0,0,3
271,8,0,0,0,3
272,12,5,0,4,2
273,10,0,0,0,3
274,8,0,0,0,2
275,7,1,0,1,1
276,8,0,0,0,2
277,6,0,0,0,2
278,9,0,0,0,2
279,8,0,0,0,4
280,8,0,0,0,1
281,10,0,0,0,5
282,7,0,0,1,3
283,10,0,0,0,4
284,10,1,0,1,0
285,11,0,0,0,1
286,11,0,0,0,5
287,9,0,0,0,0
288,8,0,0,0,1
289,9,0,0,0,0
290,11,0,0,0,2
291,10,0,0,0,1
292,8,1,0,1,2
293,11,1,0,2,4
294,11,0,0,0,4
295,5,0,0,0,1
296,7,0,0,0,2
297,7,0,0,0,0
298,11,0,0,0,1
299,8,0,0,0,1
300,8,0,0,0,1
301,13,0,0,0,1
302,9,0,0,0,1
303,14,0,0,0,0
304,13,1,0,1,2
305,11,0,0,0,2
306,14,0,0,0,3
307,13,0,0,0,1
308,13,0,0,0,5
309,13,7,0,6,0
310,12,0,0,0,2
311,19,0,0,0,3
312,15,0,0,1,1
313,25,0,0,0,0
314,14,0,0,0,2
315,13,0,0,0,2
316,12,0,0,0,0
317,11,0,0,0,0
318,11,0,0,0,1
319,15,0,0,0,3
320,12,0,0,0,3
321,10,0,0,0,3
322,10,0,0,0,4
323,14,0,0,0,3
324,11,0,0,0,1
325,9,0,0,0,1
326,13,0,0,0,2
327,15,0,0,0,3
328,9,0,0,0,3
329,9,0,0,0,5
330,11,0,0,0,4
331,11,0,0,0,3
332,5,0,0,0,2
333,10,0,0,0,1
334,8,0,0,0,1
335,7,0,0,0,3
336,8,0,0,0,2
337,8,0,0,0,0
338,9,0,0,0,2
339,9,0,0,0,1
340,8,0,0,0,3
341,6,2,0,1,1
342,17,0,0,0,3
343,10,0,0,0,3
344,15,0,0,0,3
345,17,0,0,0,3
346,15,0,0,0,4
347,15,0,0,0,0
348,15,0,0,0,4
349,14,0,0,0,8
350,10,0,0,0,1
351,10,0,0,0,1
352,7,0,0,0,0
353,4,0,0,0,1
354,5,0,0,0,2
355,7,0,0,0,2
356,10,0,0,0,2
357,5,0,0,0,1
358,3,0,0,0,0
359,5,0,0,1,1
360,9,0,0,0,2
361,9,0,0,0,5
362,12,0,0,0,1
363,11,0,0,0,2
364,12,0,0,0,1
365,12,1,0,1,1
366,10,0,0,0,3
367,19,0,0,0,2
368,20,0,0,0,6
369,21,0,0,0,5
370,23,0,0,0,5
371,28,0,0,0,1
372,25,0,0,0,5
373,23,0,0,0,5
374,24,1,0,1,4
375,23,0,0,0,1
376,21,0,0,0,6
377,13,0,0,0,1
378,9,0,0,0,3
379,13,10,0,9,0
380,9,0,0,0,2
381,11,0,0,0,1
382,8,0,0,0,2
383,13,0,0,0,3
384,12,0,0,0,1
385,10,0,0,1,2
386,8,0,0,0,5
387,8,0,0,0,1
388,7,0,0,0,1
389,7,0,0,0,2
390,8,0,0,0,4
391,7,0,0,0,2
392,9,0,0,0,1
393,11,0,0,0,2
394,7,0,0,0,1
395,7,0,0,0,1
396,10,0,0,1,0
397,8,0,0,0,5
398,9,0,0,0,1
399,7,0,0,0,2
400,8,0,0,0,4
401,7,0,0,0,2
402,7,0,0,0,1
403,11,0,0,0,2
404,11,0,0,1,4
405,10,0,0,0,3
406,9,0,0,0,1
407,8,0,0,0,0
408,9,0,0,0,1
409,9,0,0,0,3
410,10,0,0,0,4
411,11,0,0,0,2
412,8,0,0,0,0
413,9,0,0,0,2
414,6,0,0,0,2
415,11,0,0,0,3
416,9,6,0,5,2
417,10,0,0,0,5
418,6,0,0,1,0
419,9,0,0,0,2
420,7,0,0,0,1
421,8,0,0,0,1
422,5,0,0,0,1
423,8,0,0,0,2
424,7,0,0,0,1
425,4,0,0,0,1
426,8,0,0,0,2
427,11,0,0,0,2
428,7,0,0,1,0
429,7,0,0,0,1
430,8,0,0,0,4
431,9,0,0,0,5
432,8,0,0,0,3
433,9,0,0,0,0
434,9,0,0,1,1
435,8,0,0,0,1
436,7,0,0,0,2
437,12,0,0,0,3
438,8,0,0,0,1
439,6,0,0,0,1
440,13,0,0,1,0
